Entity,Label
faecium,CHEMICAL
left subdural hematoma,DISEASE
pneumonia,DISEASE
lethargy,DISEASE
hematomas,DISEASE
frontal intraparenchymal hemorrhage,DISEASE
hematoma,DISEASE
infarcts,DISEASE
hemorrhages,DISEASE
hematoma,DISEASE
hematoma,DISEASE
hematoma,DISEASE
inferior left frontal lobe right subdural hematoma,DISEASE
encephalomalacia right anterior middle cerebral artery,DISEASE
chronic infarctions subarachnoid blood right cerebral sulci,DISEASE
hematoma,DISEASE
subdural hemorrhage,DISEASE
pneumonia,DISEASE
congestive heart failure pneumonia,DISEASE
congestive heart failure,DISEASE
left retrocardiac opacity,DISEASE
bacteremia,DISEASE
edema,DISEASE
bacteremia,DISEASE
thrombophlebitis,DISEASE
intraluminal thrombus,DISEASE
hematomas stroke,DISEASE
left pain,DISEASE
dislocation,DISEASE
endocarditis,DISEASE
pneumonia,DISEASE
linezolid,CHEMICAL
synercid daptomycin,CHEMICAL
thrombus,DISEASE
hematoma sepsis,DISEASE
ulcer decubitis ulcer,DISEASE
Erythromycin,CHEMICAL
Sulfonamide,CHEMICAL
clindamycin,CHEMICAL
chills rigors,DISEASE
hyperlipidemia diverticulosis,DISEASE
decitabine,CHEMICAL
nosebleeds,DISEASE
rigors chills,DISEASE
hypertensive,DISEASE
demerol tylenol,CHEMICAL
hydrocortisone,CHEMICAL
hypotensive,DISEASE
hypoxia,DISEASE
neutropenia,DISEASE
hemolysis,DISEASE
interstitial edema,DISEASE
fever,DISEASE
pain cough headache,DISEASE
bruise canker sore mouth,DISEASE
Chills,DISEASE
Anorexia,DISEASE
weight loss gain,DISEASE
Blurred vision Blindness Photophobia,DISEASE
throat Epistaxis Tinnitus,DISEASE
Decreased hearing Tinnitus,DISEASE
Cough Wheeze Purulent sputum Hemoptysis,DISEASE
pain,DISEASE
Palpitations Edema Orthopnea Chest Pain,DISEASE
Odynophagia Dysphagia,DISEASE
Anorexia Nausea Vomiting,DISEASE
Diarrhea Constipation pain,DISEASE
Dysuria,DISEASE
Hematuria,DISEASE
Pruritus,DISEASE
swelling,DISEASE
pain,DISEASE
pain,DISEASE
Headache,DISEASE
Numbness extremities Seizures Weakness Dizziness,DISEASE
Lightheaded Vertigo Headache,DISEASE
bruising,DISEASE
bleeding,DISEASE
anemia,DISEASE
acute myeloiod transformation diverticulosis,DISEASE
bleeding bleeding,DISEASE
GERD emphysema,DISEASE
myelodysplastic syndrome,DISEASE
blastemia,DISEASE
colon polyps,DISEASE
hypertension hyperlipidemia proctalgia fugax TMJD,DISEASE
leukemia,DISEASE
cataracts,DISEASE
icterus,DISEASE
Nose Mouth Throat small purplish nodule tongue,DISEASE
bruising,DISEASE
Gastrointestinal soft bowel sounds Genitourinary flank tenderness Skin rashes lesions,DISEASE
abnormal movements,DISEASE
wheezes rhonchi,DISEASE
tenderness,DISEASE
tenderness,DISEASE
guarding nondistended extremities,DISEASE
GRAN,CHEMICAL
PHOS BILI,CHEMICAL
BILI,CHEMICAL
CREAT,CHEMICAL
TRANS,CHEMICAL
Glucose,CHEMICAL
Calcium,CHEMICAL
interstitial edema,DISEASE
effusions pneumothorax,DISEASE
pneumonia,DISEASE
retroperitoneal hemorrhage,DISEASE
gallbladder polyp,DISEASE
gallbladder polyps,DISEASE
adenomyomatosis,DISEASE
Sigmoid diverticulosis,DISEASE
bibasilar opacities,DISEASE
intracranial hemorrhage mass,DISEASE
hemorrhage,DISEASE
bleeding,DISEASE
gallbladder polyp fundal adenomyomatosis Colonic diverticulosis,DISEASE
diverticulitis,DISEASE
left adrenal adenoma,DISEASE
celiac artery aortic dilation,DISEASE
colon Diverticulosis,DISEASE
colon Bleeding angioectasias,DISEASE
Polyp transverse colon Blood stool,DISEASE
colon bleeding,DISEASE
colon Diverticulosis,DISEASE
bleeding,DISEASE
Dacogen diverticulosis,CHEMICAL
thrombocytopenia,DISEASE
blood rectum with acute hematocrit drop underwent,DISEASE
colon bleeding angioectasias,DISEASE
bloody bowel movements,DISEASE
bloody bowel movements,DISEASE
amicar,CHEMICAL
cecal angioectasias,DISEASE
diverticula small polyp,DISEASE
bloody bowel movements,DISEASE
watery stools,DISEASE
amicar,CHEMICAL
thrombocytopenia,DISEASE
consumptive,DISEASE
renal failure neurologic,DISEASE
bleeding,DISEASE
Amicar,CHEMICAL
aspirin plavix,CHEMICAL
famotidine,CHEMICAL
hydrocortisone,CHEMICAL
Dacogen,CHEMICAL
Dacogen,CHEMICAL
GERD,DISEASE
constipation,DISEASE
constipation,DISEASE
bloody bowel movements Transitional Issues patient,DISEASE
loratadine,CHEMICAL
omeprazole,CHEMICAL
polyethylene glycol gram,CHEMICAL
magnesium hydroxide,CHEMICAL
docusate sodium,CHEMICAL
allopurinol,CHEMICAL
loratadine,CHEMICAL
omeprazole,CHEMICAL
constipation,DISEASE
sodium Capsule,CHEMICAL
myelodysplastic syndrome acute myloid leukemia,DISEASE
atriovenous malformations,DISEASE
bleed,DISEASE
bleeding,DISEASE
bleeding,DISEASE
malformations,DISEASE
bleeding,DISEASE
loose bloody stools,DISEASE
Amicar,CHEMICAL
bloody stools,DISEASE
leukemia,DISEASE
hypertensive,DISEASE
allopurinol,CHEMICAL
hepatic artery aneurysm,DISEASE
hepatic artery aneurysm,DISEASE
weight loss,DISEASE
hepatic artery aneurysm,DISEASE
aneurysm,DISEASE
artery aneurism migraines,DISEASE
Glucose,CHEMICAL
Glucose,CHEMICAL
Glucose,CHEMICAL
Glucose,CHEMICAL
Glucose,CHEMICAL
Glucose,CHEMICAL
Calcium,CHEMICAL
Calcium,CHEMICAL
Calcium,CHEMICAL
Calcium,CHEMICAL
Calcium,CHEMICAL
Calcium,CHEMICAL
Calcium,CHEMICAL
Calcium,CHEMICAL
hepatic artery aneurysm,DISEASE
bradycardia,DISEASE
pain,DISEASE
weight loss,DISEASE
pain,DISEASE
Atenolol,CHEMICAL
lisinopril,CHEMICAL
trazodone,CHEMICAL
multivitamin vitamin vitamin,CHEMICAL
Atenolol,CHEMICAL
Lisinopril,CHEMICAL
Tamsulosin,CHEMICAL
Trazodone,CHEMICAL
Aspirin,CHEMICAL
Hydromorphone,CHEMICAL
pain,DISEASE
Docusate Sodium,CHEMICAL
Diphenhydramine,CHEMICAL
Itching,DISEASE
vitamins minerals,CHEMICAL
hepatic artery aneurysm,DISEASE
swelling Wear,DISEASE
appetite your appetite,DISEASE
vegetables fruits,CHEMICAL
cholesterol,CHEMICAL
constipation,DISEASE
pain,DISEASE
pain,DISEASE
aspirin,CHEMICAL
sudden increase pain,DISEASE
pain,DISEASE
Cipro,CHEMICAL
malnutrition,DISEASE
shortness breath,DISEASE
COPD hypertension gastroespohageal reflux,DISEASE
shortness breath dyspnea exertion,DISEASE
hemoptysis,DISEASE
chest pain,DISEASE
pain,DISEASE
renal insufficiency,DISEASE
COPD Rash,DISEASE
back neck GERD,DISEASE
alcohol,CHEMICAL
Glucose,CHEMICAL
Chest Multilobar,DISEASE
asymmetrical edema multilobar pneumonia postobstructive,DISEASE
pleural effusions right greater than left parenchymal mass lesion,DISEASE
pulmonary embolus,DISEASE
cardiac enlargement,DISEASE
pulmonary hypertension Small bibasilar pleural effusions,DISEASE
cardiac failure,DISEASE
pulmonary hypertension,DISEASE
Pneumonia,DISEASE
ceftriaxone azithromycin,CHEMICAL
pneumonia,DISEASE
Levaquin,CHEMICAL
oxygen,CHEMICAL
prednisone,CHEMICAL
lasix,CHEMICAL
tachypneic,DISEASE
Ceftazadine,CHEMICAL
lasix morphine,CHEMICAL
desaturate,CHEMICAL
desaturation,DISEASE
morphine,CHEMICAL
pneumonia,DISEASE
levaquin,CHEMICAL
Hemoptysis,DISEASE
hemoptysis,DISEASE
pneumonia,DISEASE
Chest pain episodes fleeting pleuritic chest pain,DISEASE
renal insufficiency,DISEASE
acute renal failure,DISEASE
trace edema,DISEASE
lasix,CHEMICAL
Acetaminophen Aluminum,CHEMICAL
Albuterol Soln,CHEMICAL
Amlodipine,CHEMICAL
Calcium Carbonate,CHEMICAL
Fexofenadine Fluticasone,DISEASE
Salmeterol Furosemide,DISEASE
Hydrocortisone Cream,DISEASE
Hyoscyamine Ipratropium Bromide,CHEMICAL
Dinitrate Pantoprazole,DISEASE
Prednisone Simethicone,CHEMICAL
Sorbitol,CHEMICAL
pneumonia,DISEASE
myocardial infarction congestive heart failure COPD,DISEASE
Hypertension GERD,DISEASE
Chest Pain,DISEASE
Chol,CHEMICAL
diabetes mellitus,DISEASE
chest pain,DISEASE
chest pain,DISEASE
vessel disease left main disease with,DISEASE
Referred,DISEASE
diabetes mellitus Hypertension Hypercholesterolemia Lightheadedness,DISEASE
herpes Lipodystrophy Varicose veins Erectile dysfunction,DISEASE
venous stasis ulcer Left tibia fracture,DISEASE
smoking,CHEMICAL
uterine cancer,DISEASE
lupus sister stroke grandmother diabetes,DISEASE
hypertension,DISEASE
icteric sclerae,DISEASE
CTAB wheezes,CHEMICAL
hepatomegaly splenomegaly,DISEASE
peripheral edema,DISEASE
tremor,DISEASE
vessel disease,DISEASE
luminal,CHEMICAL
luminal,CHEMICAL
pulmonary artery hypertension,DISEASE
mitral regurgitation,DISEASE
Glucose,CHEMICAL
Glucose,CHEMICAL
Calcium,CHEMICAL
Nitrite,CHEMICAL
Glucose,CHEMICAL
Propofol,CHEMICAL
propofol,CHEMICAL
Lasix,CHEMICAL
diabetes,DISEASE
Lopressor,CHEMICAL
lasix,CHEMICAL
ANDROGEL,CHEMICAL
ATAZANAVIR,CHEMICAL
ritonavir,CHEMICAL
cholesterol,CHEMICAL
depression,DISEASE
diabetes mellitus,DISEASE
LEVITRA,CHEMICAL
chest pain,DISEASE
pain,DISEASE
pain,DISEASE
esophageal reflux RITONAVIR capsule mouth,DISEASE
atazanavir,CHEMICAL
TENOFOVIR,DISEASE
Aspirin,CHEMICAL
Docusate Sodium,CHEMICAL
Capsule,CHEMICAL
Lamivudine,CHEMICAL
Hydromorphone,CHEMICAL
Ritonavir Capsule,CHEMICAL
Capsule,CHEMICAL
Atazanavir Sulfate,CHEMICAL
Capsule,CHEMICAL
Tenofovir Disoproxil Fumarate,CHEMICAL
Stavudine Capsule,CHEMICAL
Atorvastatin Calcium,CHEMICAL
Venlafaxine,CHEMICAL
Zantac,CHEMICAL
Metoprolol Tartrate,CHEMICAL
Acyclovir Capsule,CHEMICAL
Capsule,CHEMICAL
Lasix,CHEMICAL
Glargine,CHEMICAL
Lispro,CHEMICAL
glucose,CHEMICAL
diabetes mellitus Hypertension Hypercholesterolemia Lightheadedness,DISEASE
herpes Lipodystrophy Varicose veins Erectile dysfunction,DISEASE
venous stasis ulcer Left tibia fracture,DISEASE
right hemifacial paralysis,DISEASE
postoperative delirium bilateral subdural hygromas,DISEASE
lower extremity weakness with right facial Bell palsy,DISEASE
paralysis,DISEASE
subdural hygroma,DISEASE
sinus tachycardia,DISEASE
Lopressor,CHEMICAL
paralysis,DISEASE
stroke,DISEASE
Metoprolol Heparin,CHEMICAL
Tylenol,CHEMICAL
coronary artery disease myocardial infarction,DISEASE
carotid stenosis,DISEASE
paralysis,DISEASE
delirium tremens,DISEASE
hygromas,DISEASE
status confusion,DISEASE
Coronary artery disease myocardial infarction,DISEASE
carotid stenosis Peptic ulcer disease Hypertension,DISEASE
paralysis,DISEASE
drug allergies,DISEASE
Extraocular movements,DISEASE
decreased breath sounds bilaterally crackles Abdomen soft with masses Extremities strength bilateral lower extremities right grasp patient left upper extremity hemiparesis moves right purposely spontaneously continues,DISEASE
Allergies,DISEASE
Cholangitis,DISEASE
cholangitis,DISEASE
intermittent biliary colic,DISEASE
pain,DISEASE
delirious,DISEASE
fever,DISEASE
gallstones,DISEASE
Vancomycin Zosyn,CHEMICAL
Unasyn,CHEMICAL
Unasyn cefepime gentamycin,CHEMICAL
acute renal failure,DISEASE
swelling,DISEASE
abdominal pain nausea hungry,DISEASE
Pain,DISEASE
pain,DISEASE
cough chest pain urinary symptoms arthralgias joint swelling,DISEASE
cholangitis,DISEASE
lung cancer,DISEASE
bradycardia,DISEASE
hypertension,DISEASE
diabetes,DISEASE
knee shoulder surgeries chronic back pain,DISEASE
stroke,DISEASE
cancer,DISEASE
hearing Oropharynx,DISEASE
edema,DISEASE
Glucose,CHEMICAL
Glucose,CHEMICAL
partial obstruction,DISEASE
cholangitis,DISEASE
Cholangitis,DISEASE
cipro,CHEMICAL
Bacteremia,DISEASE
cefepime gentamicin,CHEMICAL
ciprofloxacin,CHEMICAL
Acute renal failure,DISEASE
creatinine,CHEMICAL
nystatin,CHEMICAL
Metformin,CHEMICAL
Hypertension,DISEASE
carvedilol,CHEMICAL
Lasix,CHEMICAL
lumbar back pain,DISEASE
Oxycontin,CHEMICAL
renal failure illness,DISEASE
oxycodone,CHEMICAL
Coagulopathy,DISEASE
Carvedilol,CHEMICAL
Furosemide,CHEMICAL
Lisinopril,CHEMICAL
Oxycontin Percocet,CHEMICAL
Levemir,CHEMICAL
Metformin Simvastatin,CHEMICAL
carvedilol,CHEMICAL
oxycodone,CHEMICAL
lisinopril,CHEMICAL
metoclopramide,CHEMICAL
Levemir,CHEMICAL
metformin,CHEMICAL
ciprofloxacin,CHEMICAL
nystatin diphenhydramin,CHEMICAL
mouth pain,DISEASE
furosemide,CHEMICAL
simvastatin,CHEMICAL
Cholangitis Bacteremia,DISEASE
Acute renal failure Coagulopathy Thrombocytopenia swelling Diabetes type Hypertension,DISEASE
pain,DISEASE
cholangitis,DISEASE
Allergies,DISEASE
colangitis,DISEASE
bacteremia,DISEASE
sepsis SIRS,DISEASE
Pulmonary Embolus,DISEASE
dementia,DISEASE
cardiac arrest,DISEASE
atropine,CHEMICAL
atropine,CHEMICAL
dopa calcium,CHEMICAL
heparin,CHEMICAL
flagyl,CHEMICAL
seizure,DISEASE
ativan,CHEMICAL
dopa,CHEMICAL
heparin,CHEMICAL
bicarb,CHEMICAL
myclonic jerks left right,DISEASE
edema,DISEASE
murmurs Abdomen soft tender distended bowel sounds foley,DISEASE
hematuria,DISEASE
pain,DISEASE
myclonic jerks,DISEASE
Glucose,CHEMICAL
Calcium,CHEMICAL
Glucose Lactate,CHEMICAL
Lactate,CHEMICAL
Lactate,CHEMICAL
Lactate,CHEMICAL
pneumothorax,DISEASE
pneumothorax,DISEASE
pneumothorax,DISEASE
pneumothorax,DISEASE
dementia,DISEASE
pneumothorax,DISEASE
myoclonic jerks Hypotension Cardiac arrest,DISEASE
hypotension,DISEASE
Dopamine,CHEMICAL
ischemia,DISEASE
cardiac ischemic injury,DISEASE
coagulopathy,DISEASE
bicarb,CHEMICAL
acidosis,DISEASE
Pulmonary embolism,DISEASE
cardiac arrest,DISEASE
heparin,CHEMICAL
heparin,CHEMICAL
status myoclonic jerks,DISEASE
lactate,CHEMICAL
metabolic acidosis overbreathing,DISEASE
depakote,CHEMICAL
anoxic injury,DISEASE
metabolic abnormalities,DISEASE
Acidosis,DISEASE
acidosis,DISEASE
pneumothorax,DISEASE
Coagulopathy,DISEASE
shock,DISEASE
bleeding,DISEASE
Hypertension,DISEASE
lasix atenolol,CHEMICAL
nifedipine lisinopril,DISEASE
Dementia,DISEASE
nifedipine lasix,CHEMICAL
Divalproex,CHEMICAL
Aricept simvastatin,CHEMICAL
zolpidem tylenol,CHEMICAL
atenolol,CHEMICAL
lisinopril milk,CHEMICAL
compazine bisacodyl,CHEMICAL
trazadone,CHEMICAL
dislocation,DISEASE
cord injury,DISEASE
trauma,DISEASE
neck pain paralysis,DISEASE
anterior subluxation,DISEASE
traumatic subluxation,DISEASE
cord edema,DISEASE
intramedullary hematoma,DISEASE
cord compression,DISEASE
congenital narrowing,DISEASE
cord compression,DISEASE
congenital narrowing,DISEASE
fracture,DISEASE
subluxation,DISEASE
hematoma,DISEASE
edema,DISEASE
trauma,DISEASE
edema,DISEASE
ligamentous injury,DISEASE
swelling,DISEASE
traumatic subluxation,DISEASE
edema hematoma,DISEASE
traumatic subluxation,DISEASE
ligamentous injury,DISEASE
fractures,DISEASE
fractures,DISEASE
trauma,DISEASE
lower extremities,DISEASE
lower extremities Blood Cultures MRSA MRSA SCREEN Final MRSA isolated Urine culture URINE CULTURE Final GROWTH Brief Hospital Course Known lastname Last Name from,DISEASE
loss consciousness,DISEASE
pain,DISEASE
cord compression subluxation,DISEASE
Acetaminophen,CHEMICAL
constipation,DISEASE
Oxycodone,CHEMICAL
Oxycodone,CHEMICAL
pain,DISEASE
Heparin,CHEMICAL
Diphenhydramine,CHEMICAL
Ondansetron,CHEMICAL
nausea,DISEASE
Docusate Sodium,CHEMICAL
Acetaminophen,CHEMICAL
Cyclobenzaprine,CHEMICAL
Lorazepam,CHEMICAL
cord injury Obesity,DISEASE
fever,DISEASE
pain,DISEASE
thrombosis,DISEASE
DMII histoplasmosis,CHEMICAL
partial thrombosis,DISEASE
chest pain,DISEASE
pain,DISEASE
pain,DISEASE
thrombus,DISEASE
DMII,CHEMICAL
glyburide,CHEMICAL
hyperlipidemia,DISEASE
bleeding,DISEASE
histoplasmosis,DISEASE
granuloma,DISEASE
tachy Lungs bilat soft NABS Extrem,DISEASE
edema,DISEASE
tenderness,DISEASE
catheter thrombus including thrombus,DISEASE
DMII histoplasmosis,CHEMICAL
partial thrombosis,DISEASE
thrombosis,DISEASE
chest shoulder pain,DISEASE
catheter thrombus including thrombus,DISEASE
lovenox,CHEMICAL
thrombosis,DISEASE
DMII,CHEMICAL
glyburide,CHEMICAL
glyburide,CHEMICAL
Diarrhea,DISEASE
Glyburide Prilosec,CHEMICAL
itraconazole lorazepam,DISEASE
Glyburide,CHEMICAL
Enoxaparin,CHEMICAL
Oxycodone,CHEMICAL
pain Itraconazole Capsule,DISEASE
Lorazepam,CHEMICAL
Vein Thrombosis subclavian vein Rectal cancer Histoplasmosis Diabetes Mellitus Type Discharge Condition Stable Your,DISEASE
shortness breath,DISEASE
chest pain,DISEASE
chills,DISEASE
upper extremity weakness Major,DISEASE
upper extremity weakness Past Medical History cath occluded,DISEASE
Hypercholesterolemia,DISEASE
trauma,DISEASE
pain,DISEASE
Chest bilat soft Rectum Normal tone guaiac negative Pelvis Stable Extr strength except Pertinent,DISEASE
contusion,DISEASE
swelling,DISEASE
fracture,DISEASE
spinal stenosis,DISEASE
contusion hematoma,DISEASE
swelling,DISEASE
fracture,DISEASE
spinal stenosis,DISEASE
ligamentous injury,DISEASE
cord contusion,DISEASE
osteopenia,DISEASE
pleural effusion,DISEASE
trauma,DISEASE
Steroid,CHEMICAL
knee pain,DISEASE
pelvis knee,DISEASE
Lopressor,CHEMICAL
protonix,CHEMICAL
haldol,CHEMICAL
Haldol,CHEMICAL
Plavix Atenolol,CHEMICAL
Albuterol Sulfate,CHEMICAL
shortness breath wheezing Bisacodyl,DISEASE
constipation Heparin,DISEASE
Oxycodone Acetaminophen,CHEMICAL
pain,DISEASE
Atenolol,CHEMICAL
Aspirin,CHEMICAL
Atorvastatin,CHEMICAL
Docusate Sodium,CHEMICAL
Lansoprazole Susp,CHEMICAL
Trauma,DISEASE
Trauma,DISEASE
hepatitis surface antigen,CHEMICAL
magnesium,CHEMICAL
betamethasone,CHEMICAL
magnesium,CHEMICAL
Magnesium,CHEMICAL
fever rupture,DISEASE
Clindamycin,CHEMICAL
oxygen,CHEMICAL
breast milk,DISEASE
breast milk,DISEASE
bilirubin,CHEMICAL
ampicillin gentamicin,CHEMICAL
ampicillin gentamicin,CHEMICAL
hydronephrosis,DISEASE
pyelectasis,DISEASE
pneumothorax,DISEASE
Coagulopathy,DISEASE
shock,DISEASE
bleeding,DISEASE
Hypertension,DISEASE
lasix atenolol,CHEMICAL
nifedipine lisinopril,DISEASE
Dementia,DISEASE
nifedipine lasix,CHEMICAL
Divalproex,CHEMICAL
Aricept simvastatin,CHEMICAL
zolpidem tylenol,CHEMICAL
atenolol,CHEMICAL
lisinopril milk,CHEMICAL
compazine bisacodyl,CHEMICAL
trazadone,CHEMICAL
dislocation,DISEASE
cord injury,DISEASE
trauma,DISEASE
neck pain paralysis,DISEASE
anterior subluxation,DISEASE
traumatic subluxation,DISEASE
cord edema,DISEASE
intramedullary hematoma,DISEASE
cord compression,DISEASE
congenital narrowing,DISEASE
cord compression,DISEASE
congenital narrowing,DISEASE
fracture,DISEASE
subluxation,DISEASE
hematoma,DISEASE
edema,DISEASE
trauma,DISEASE
edema,DISEASE
ligamentous injury,DISEASE
swelling,DISEASE
traumatic subluxation,DISEASE
edema hematoma,DISEASE
traumatic subluxation,DISEASE
ligamentous injury,DISEASE
fractures,DISEASE
fractures,DISEASE
trauma,DISEASE
lower extremities,DISEASE
lower extremities Blood Cultures MRSA MRSA SCREEN Final MRSA isolated Urine culture URINE CULTURE Final GROWTH Brief Hospital Course Known lastname Last Name from,DISEASE
loss consciousness,DISEASE
pain,DISEASE
cord compression subluxation,DISEASE
Acetaminophen,CHEMICAL
constipation,DISEASE
Oxycodone,CHEMICAL
Oxycodone,CHEMICAL
pain,DISEASE
Heparin,CHEMICAL
Diphenhydramine,CHEMICAL
Ondansetron,CHEMICAL
nausea,DISEASE
Docusate Sodium,CHEMICAL
Acetaminophen,CHEMICAL
Cyclobenzaprine,CHEMICAL
Lorazepam,CHEMICAL
cord injury Obesity,DISEASE
fever,DISEASE
pain,DISEASE
thrombosis,DISEASE
DMII histoplasmosis,CHEMICAL
partial thrombosis,DISEASE
chest pain,DISEASE
pain,DISEASE
pain,DISEASE
thrombus,DISEASE
DMII,CHEMICAL
glyburide,CHEMICAL
hyperlipidemia,DISEASE
bleeding,DISEASE
histoplasmosis,DISEASE
granuloma,DISEASE
tachy Lungs bilat soft NABS Extrem,DISEASE
edema,DISEASE
tenderness,DISEASE
catheter thrombus including thrombus,DISEASE
DMII histoplasmosis,CHEMICAL
partial thrombosis,DISEASE
thrombosis,DISEASE
chest shoulder pain,DISEASE
catheter thrombus including thrombus,DISEASE
lovenox,CHEMICAL
thrombosis,DISEASE
DMII,CHEMICAL
glyburide,CHEMICAL
glyburide,CHEMICAL
Diarrhea,DISEASE
Glyburide Prilosec,CHEMICAL
itraconazole lorazepam,DISEASE
Glyburide,CHEMICAL
Enoxaparin,CHEMICAL
Oxycodone,CHEMICAL
pain Itraconazole Capsule,DISEASE
Lorazepam,CHEMICAL
Vein Thrombosis subclavian vein Rectal cancer Histoplasmosis Diabetes Mellitus Type Discharge Condition Stable Your,DISEASE
shortness breath,DISEASE
chest pain,DISEASE
chills,DISEASE
upper extremity weakness Major,DISEASE
upper extremity weakness Past Medical History cath occluded,DISEASE
Hypercholesterolemia,DISEASE
trauma,DISEASE
pain,DISEASE
Chest bilat soft Rectum Normal tone guaiac negative Pelvis Stable Extr strength except Pertinent,DISEASE
contusion,DISEASE
swelling,DISEASE
fracture,DISEASE
spinal stenosis,DISEASE
contusion hematoma,DISEASE
swelling,DISEASE
fracture,DISEASE
spinal stenosis,DISEASE
ligamentous injury,DISEASE
cord contusion,DISEASE
osteopenia,DISEASE
pleural effusion,DISEASE
trauma,DISEASE
Steroid,CHEMICAL
knee pain,DISEASE
pelvis knee,DISEASE
Lopressor,CHEMICAL
protonix,CHEMICAL
haldol,CHEMICAL
Haldol,CHEMICAL
Plavix Atenolol,CHEMICAL
Albuterol Sulfate,CHEMICAL
shortness breath wheezing Bisacodyl,DISEASE
constipation Heparin,DISEASE
Oxycodone Acetaminophen,CHEMICAL
pain,DISEASE
Atenolol,CHEMICAL
Aspirin,CHEMICAL
Atorvastatin,CHEMICAL
Docusate Sodium,CHEMICAL
Lansoprazole Susp,CHEMICAL
Trauma,DISEASE
Trauma,DISEASE
hepatitis surface antigen,CHEMICAL
magnesium,CHEMICAL
betamethasone,CHEMICAL
magnesium,CHEMICAL
Magnesium,CHEMICAL
fever rupture,DISEASE
Clindamycin,CHEMICAL
oxygen,CHEMICAL
breast milk,DISEASE
breast milk,DISEASE
bilirubin,CHEMICAL
ampicillin gentamicin,CHEMICAL
ampicillin gentamicin,CHEMICAL
hydronephrosis,DISEASE
pyelectasis,DISEASE
sepsis,DISEASE
vaginal deliveries complications,DISEASE
Mitral valve prolapse,DISEASE
drug allergies,DISEASE
ethanol,CHEMICAL
tenderness,DISEASE
uterine perforation injury sigmoid mesentery intraoperative Surgery,DISEASE
uterine perforation,DISEASE
consumptive coagulopathy,DISEASE
bleeding,DISEASE
morphine,CHEMICAL
pain,DISEASE
propofol,CHEMICAL
Dilaudid pain,CHEMICAL
Motrin,CHEMICAL
Percocet Motrin,CHEMICAL
wheezing,DISEASE
albuterol,CHEMICAL
Protonix,CHEMICAL
pain,DISEASE
Cytotec rectum uterine atony,CHEMICAL
Methergine,CHEMICAL
bleeding,DISEASE
ampicillin gentamicin clindamycin,CHEMICAL
vein thrombosis,DISEASE
Protonix,CHEMICAL
Percocet Motrin,CHEMICAL
Seizures aphasia,DISEASE
seizure disorder EtOH,DISEASE
respiratory distress,DISEASE
aphasia,DISEASE
seizures,DISEASE
status epilepticus,DISEASE
dilantin,CHEMICAL
dilantin,CHEMICAL
valium,CHEMICAL
Keppra Dilantin Klonopin,CHEMICAL
seizures,DISEASE
lower extremities that,DISEASE
Ativan,CHEMICAL
NSTEMI,DISEASE
troponins,CHEMICAL
NSTEMI,DISEASE
ischemia,DISEASE
hypotension,DISEASE
heparin,CHEMICAL
leukocytosis,DISEASE
Vancomycin Zosyn,CHEMICAL
solumedrol wheezing,CHEMICAL
tachypneic,DISEASE
lasix ipratroprium,CHEMICAL
hypoxia,DISEASE
oxygen,CHEMICAL
oxygen,CHEMICAL
seizure encephalitis,DISEASE
Hyperlipidemia NSTEMI,DISEASE
EtOH,CHEMICAL
edema,DISEASE
Glucose,CHEMICAL
Glucose,CHEMICAL
Calcium,CHEMICAL
CHOL,CHEMICAL
Ethanol,CHEMICAL
interstitial opacities,DISEASE
pulmonary edema,DISEASE
infection,DISEASE
atelectasis,DISEASE
pleural effusion,DISEASE
pneumonia,DISEASE
cardiomegaly,DISEASE
heart pericardial effusion Azygos distention,DISEASE
pulmonary edema left lower lobe consolidation,DISEASE
atelectasis pneumonia Left subclavian line projects over junction brachiocephalic veins,DISEASE
pneumothorax,DISEASE
pleural effusions,DISEASE
left ventricular systolic dysfunction,DISEASE
multivessel coronary artery disease stress cardiomyopathy,DISEASE
left ventricular systolic dysfunction,DISEASE
pulmonary hypertension,DISEASE
seizure disorder,DISEASE
infection,DISEASE
EtOH,CHEMICAL
status epilepticus,DISEASE
NSTEMI,DISEASE
depressed,DISEASE
pneumonia,DISEASE
Vancomycin Zosyn,CHEMICAL
respiratory distress,DISEASE
depressed,DISEASE
status epilepticus,DISEASE
dilantin,CHEMICAL
seizures,DISEASE
dilantin,CHEMICAL
meningitis,DISEASE
rigidity,DISEASE
alcohol,CHEMICAL
EtOH,CHEMICAL
EtOH,CHEMICAL
encephalomalacia,DISEASE
haldol,CHEMICAL
seizure,DISEASE
keppra dilantin,CHEMICAL
dilantin,CHEMICAL
Ativan seizures,CHEMICAL
seizure,DISEASE
Hypoxia,DISEASE
pneumonia,DISEASE
hypoxia,DISEASE
respiratory distress,DISEASE
lasix,CHEMICAL
lasix,CHEMICAL
albuterol,CHEMICAL
lobar opacities,DISEASE
pneumonia,DISEASE
seizures,DISEASE
Vancomycin,CHEMICAL
NSTEMI,DISEASE
NSTEMI,DISEASE
hypotensive,DISEASE
neosynephrine,CHEMICAL
Takatsubo stress cardiomyopathy,DISEASE
statin,CHEMICAL
pulmonary edema,DISEASE
myocardial insult,DISEASE
EtOH,CHEMICAL
thiamine folate,CHEMICAL
atenolol folate simvastatin,CHEMICAL
Amlodipine dilantin,DISEASE
Simvastatin,CHEMICAL
Aspirin,CHEMICAL
Thiamine,CHEMICAL
Folic Acid,CHEMICAL
Levetiracetam,CHEMICAL
Phenytoin Sodium,CHEMICAL
